language,family,subfamily,concept,ipa
abk,Abkhaz-Adyge,Abkhaz-Abaza,138_pig,ɑ ħ ə ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,139_dog,ɑ l ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,13_beard,ɑ ʐ ɑ k’ʲ e
abk,Abkhaz-Adyge,Abkhaz-Abaza,140_cat,ɑ tsʰ g ə ɨ
abk,Abkhaz-Adyge,Abkhaz-Abaza,141_bear,ɑ m ʂ ə
abk,Abkhaz-Adyge,Abkhaz-Abaza,142_squirrel,ɑ ɛ ʂ
abk,Abkhaz-Adyge,Abkhaz-Abaza,143_elk,ɑ ʈʂʰ ɑ ɥ ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,144_fox,ɑ b g ɑ χ ə ɨ tʃʼ ɨ
abk,Abkhaz-Adyge,Abkhaz-Abaza,145_hare,ɑ ʒ ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,146_mouse,ɑ ħ ə ɨ n ɑ pʰ
abk,Abkhaz-Adyge,Abkhaz-Abaza,147_wolf,ɑ b g ɑ d u
abk,Abkhaz-Adyge,Abkhaz-Abaza,148_bird,ɑ pʰ s ɑː tʼ ə
abk,Abkhaz-Adyge,Abkhaz-Abaza,14_chin,ɑ tsʰ l ɑ m kʼ ə ɨ g ə
abk,Abkhaz-Adyge,Abkhaz-Abaza,150_chicken,ɑ kʼ ə tʼ ɨ
abk,Abkhaz-Adyge,Abkhaz-Abaza,151_cock,á r b ɑ ʁʲ
abk,Abkhaz-Adyge,Abkhaz-Abaza,152_goose,ɑ qʼ ɨ z
abk,Abkhaz-Adyge,Abkhaz-Abaza,153_eagle,ɑ u ɑ r b ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,154_duck,ɑ kʼ ə ɑ tʼ ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,155_owl,ɑ tʼ ɨ
abk,Abkhaz-Adyge,Abkhaz-Abaza,156_crane,ɑ pʼ qʼ ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,157_crow,ɑ qʼ ə ɑ r ɑ ɑ n
abk,Abkhaz-Adyge,Abkhaz-Abaza,158_cuckoo,ɑ kʼ ə ɨ kʼ ə u
abk,Abkhaz-Adyge,Abkhaz-Abaza,159_swan,ɑ gʲ e d
abk,Abkhaz-Adyge,Abkhaz-Abaza,15_jaw,ɑ tsʰ l ɑ m ħ ə ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,160_fish,ɑ pʰ s ɨ dz
abk,Abkhaz-Adyge,Abkhaz-Abaza,161_perch,ɑ tsʰ ə ɨ b l ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,162_pike,ɑ χ i ɑ ɑ l ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,163_snake,ɑ m ɑ tʰ
abk,Abkhaz-Adyge,Abkhaz-Abaza,164_worm,ɑ χ ə ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,164_worm,ɑ χ ə ɑ tsʰ
abk,Abkhaz-Adyge,Abkhaz-Abaza,165_spider,ɑ b ɨ z kʼ ɑ tʰ ɑ ħ ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,166_ant,ɑ ʂ ɨ ʂ kʼ ɑ m s
abk,Abkhaz-Adyge,Abkhaz-Abaza,167_louse,ɑ tsʼ ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,168_gnat,ɑ kʼ ə ɨ b r ɨ
abk,Abkhaz-Adyge,Abkhaz-Abaza,169_fly,ɑ m tsʼ
abk,Abkhaz-Adyge,Abkhaz-Abaza,16_throat,ɑ χ ə d ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,170_butterfly,ɑ pʰ ɑ r pʰ ɑ l ɨ k’ʲ
abk,Abkhaz-Adyge,Abkhaz-Abaza,171_berry,ɑ r g u tsʰ
abk,Abkhaz-Adyge,Abkhaz-Abaza,172_apple,ɑ tsʼ ə ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,173_mushroom,ɑ kʼ ə kʼ ə b ɑː
abk,Abkhaz-Adyge,Abkhaz-Abaza,174_onion,ɑ dʒ ɨ m ʃ ɨ
abk,Abkhaz-Adyge,Abkhaz-Abaza,174_onion,ɑ dʒ ɨ m ʃ χ ɨ
abk,Abkhaz-Adyge,Abkhaz-Abaza,175_seed,ɑ ʐ ə l ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,176_grain,ɑ r ɨ tsʰ
abk,Abkhaz-Adyge,Abkhaz-Abaza,177_hay,ɑ tʰ ə ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,178_peelhusk,ɑ tsʰ ə ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,179_pit,ɑ ʐ r ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,179_pit,ɑ tʼ ɨ ʂ ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,17_neck,ɑ χ ə d ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,180_trap,ɑ r ɨ pʰ q’ʲ e
abk,Abkhaz-Adyge,Abkhaz-Abaza,181_noose,ɑ qʼ ə ɑ r ɑ qʼ ə ɑ n tʼ ə
abk,Abkhaz-Adyge,Abkhaz-Abaza,182_track,ɑ ʃ tʰ ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,183_ash,ɑ χ ə ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,184_filth,ɑ ħ ə ɨ n tsʼ ə ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,184_filth,ɑ q’ʲ e m s ɑ r
abk,Abkhaz-Adyge,Abkhaz-Abaza,185_iron,ɑ i χ ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,186_gold,ɑ χʲ i
abk,Abkhaz-Adyge,Abkhaz-Abaza,187_silver,ɑ r ɑ z n ɨ
abk,Abkhaz-Adyge,Abkhaz-Abaza,188_coal,ɑ r ɑ tsʰ ə ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,189_glass,ɑ s ɑ r k’ʲ e
abk,Abkhaz-Adyge,Abkhaz-Abaza,18_nape,ɑ χ ə d ɑ dʒ ɑ l
abk,Abkhaz-Adyge,Abkhaz-Abaza,190_clay,ɑ n ɨ ʂ ə ɑ pʰ ʃ
abk,Abkhaz-Adyge,Abkhaz-Abaza,191_sand,ɑ pʰ s l ɨ m dz
abk,Abkhaz-Adyge,Abkhaz-Abaza,192_human,ɑ u ɑ ɥ ɨ
abk,Abkhaz-Adyge,Abkhaz-Abaza,193_man,ɑ χ ɑ tsʼ ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,194_woman,ɑ pʰ ħ ə ɨ s
abk,Abkhaz-Adyge,Abkhaz-Abaza,195_child,ɑ χ ə ɨ tʃʼ ɨ
abk,Abkhaz-Adyge,Abkhaz-Abaza,196_boy,ɑ tʃʼ kʼ ə ɨ n
abk,Abkhaz-Adyge,Abkhaz-Abaza,196_boy,ɑ χ ɑ tsʼ ɑ r pʰ ɨ s
abk,Abkhaz-Adyge,Abkhaz-Abaza,197_girl,ɑ dz ʁ ɑ b
abk,Abkhaz-Adyge,Abkhaz-Abaza,198_family,ɑ tʰ ɑː tsʰ ə ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,199_grandfather,ɑ b d u
abk,Abkhaz-Adyge,Abkhaz-Abaza,19_head,ɑ χ ɨ
abk,Abkhaz-Adyge,Abkhaz-Abaza,1_eye,ɑ l ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,200_grandmother,ɑ n d u
abk,Abkhaz-Adyge,Abkhaz-Abaza,201_parents,ɑ n i + ɑ b i
abk,Abkhaz-Adyge,Abkhaz-Abaza,202_father,ɑ b
abk,Abkhaz-Adyge,Abkhaz-Abaza,203_mother,ɑ n
abk,Abkhaz-Adyge,Abkhaz-Abaza,204_son,ɑ pʰ ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,205_daughter,ɑ pʰ ħ ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,206_brother,ɑ i ɑ ʃ ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,207_sister,ɑ ħ ə ʃ ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,208_uncle,á b i ɑ ʃ ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,208_uncle,á n ʃ ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,209_aunt,á b i ɑ ħ ə ʃ ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,20_back,ɑ z kʰ ə ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,210_husband,ɑ χ ɑ tsʼ ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,210_husband,ɑ pʰ ʂ ə m ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,211_wife,ɑ pʰ ħ ə ɨ s
abk,Abkhaz-Adyge,Abkhaz-Abaza,212_joy,ɑ g ə ɨ r ʁʲ e r ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,213_laughter,ɑ tʃʰ tʃʰ ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,213_laughter,ɑ tʃʰ tʃʰ ɑ r ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,214_happiness,ɑ r ɑ z qʼ ɨ
abk,Abkhaz-Adyge,Abkhaz-Abaza,215_grief,ɑ g ə ɨ r ɥ ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,216_wish,ɑ g ə χ ə tʼ ə ɨ
abk,Abkhaz-Adyge,Abkhaz-Abaza,216_wish,ɑ tʰ ɑ χ r ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,217_desire,ɑ g ə ɑ z ɨ ħ ə ɑ r ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,218_spirit,ɑ pʰ s ɨ
abk,Abkhaz-Adyge,Abkhaz-Abaza,219_thought,ɑ χ ə ɨ tsʰ ɨ r tʰ ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,21_belly,ɑ m g ə ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,220_memory,ɑ g ə ɨ n kʼ ɨ l ɑ r ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,221_mind,ɑ χ ʂ ɨ ɥ
abk,Abkhaz-Adyge,Abkhaz-Abaza,222_meaning,ɑ tsʼ ɑ kʼ ɨ
abk,Abkhaz-Adyge,Abkhaz-Abaza,223_reason,ɑ m z ɨ z
abk,Abkhaz-Adyge,Abkhaz-Abaza,224_truth,ɑ i ɑ ʂ ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,225_talk,ɑ i ʈ ʈʂ’ tɕʷʰ o ʒʲʷ ø r ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,226_fairytale,ɑ l ɑ kʼ ə
abk,Abkhaz-Adyge,Abkhaz-Abaza,227_story,ɑ ʒʲʷ ø b ʒ
abk,Abkhaz-Adyge,Abkhaz-Abaza,228_message,ɑ d ɨ r r ɑ tʰ ɑ r ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,229_news,ɑ ʒʲʷ ø b ʒ + ʈ ʈʂ’ ɨ tsʰ
abk,Abkhaz-Adyge,Abkhaz-Abaza,22_navel,ɑ tʃʼ ɑ pʼ ɑ n
abk,Abkhaz-Adyge,Abkhaz-Abaza,230_name,ɑ χʲ dz
abk,Abkhaz-Adyge,Abkhaz-Abaza,231_puzzle,ɑ tsʰ u f ɑ r ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,232_speech,ɑ ʒʲʷ ø
abk,Abkhaz-Adyge,Abkhaz-Abaza,233_language,ɑ b ɨ z ʂ ə ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,234_voice,ɑ b ʒ ɨ
abk,Abkhaz-Adyge,Abkhaz-Abaza,235_word,ɑ ʒʲʷ ø
abk,Abkhaz-Adyge,Abkhaz-Abaza,236_sign,ɑ d ɨ r g ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,237_call,ɑ ʈ ʈʂ’ tʰ ɨ
abk,Abkhaz-Adyge,Abkhaz-Abaza,238_noise,ɑ ʃ tʰ ɨ b ʒ
abk,Abkhaz-Adyge,Abkhaz-Abaza,239_sound,ɑ ʃ tʰ ɨ b ʒ
abk,Abkhaz-Adyge,Abkhaz-Abaza,23_bosom,ɑ g ə ɨ pʰ ħ ə ɨ
abk,Abkhaz-Adyge,Abkhaz-Abaza,240_tone,ɑ tʼ ɔ n
abk,Abkhaz-Adyge,Abkhaz-Abaza,241_song,ɑ ʂ ə ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,242_calm,ɑ tʰ ɨ n tʃʰ r ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,243_people,ɑ u ɑː
abk,Abkhaz-Adyge,Abkhaz-Abaza,244_nation,ɑ ʐ ə l ɑ r
abk,Abkhaz-Adyge,Abkhaz-Abaza,245_work,ɑ u s u r ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,246_guest,ɑ s ɑ s
abk,Abkhaz-Adyge,Abkhaz-Abaza,247_gift,ɑ ħ ɑ m tʰ ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,247_gift,ɑ ʈ ʈʂ’ ɑ n tsʼ ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,248_game,ɑ χ ə m ɑ r r ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,249_company,ɑ g ə ɨ pʰ
abk,Abkhaz-Adyge,Abkhaz-Abaza,24_breast,ɑ g ə ɨ ʂ pʰ ɨ
abk,Abkhaz-Adyge,Abkhaz-Abaza,250_help,ɑ tsʰ χ ɨ r ɑː r ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,251_friend,ɑ ɥ ɨ z ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,252_companion,ɑ pʰ χ n ɑ gʲ l ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,253_matter,ɑ u s
abk,Abkhaz-Adyge,Abkhaz-Abaza,254_count,ɑ χ ɨ pʰ χʲ e dz ɑ r ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,255_sort,ɑ χ kʼ ɨ
abk,Abkhaz-Adyge,Abkhaz-Abaza,256_piece,ɑ ʈʂʰ ɨ tʰ
abk,Abkhaz-Adyge,Abkhaz-Abaza,257_part,ɑ χ ə tʰ ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,258_half,á b ʐ ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,259_circle,ɑ gʲ e gʲ e
abk,Abkhaz-Adyge,Abkhaz-Abaza,25_shoulder,ɑ ʐ ə ɥ ɑ χ ɨ r
abk,Abkhaz-Adyge,Abkhaz-Abaza,260_cross,ɑ dʒ ɑ r
abk,Abkhaz-Adyge,Abkhaz-Abaza,261_line,ɑ i tsʰ tpʼ o r
abk,Abkhaz-Adyge,Abkhaz-Abaza,262_stroke,ɑ tsʰ ə ɑ ħ ə ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,263_gap,ɑ b ʒ ɑ r ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,264_distance,ɑ b ʒ ɑ r ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,265_area,ɑ tʰ ɨ pʰ
abk,Abkhaz-Adyge,Abkhaz-Abaza,266_space,ɑ tʰ ɨ pʰ
abk,Abkhaz-Adyge,Abkhaz-Abaza,267_place,ɑ tʰ ɨ pʰ
abk,Abkhaz-Adyge,Abkhaz-Abaza,268_side,ɑ g ɑ n
abk,Abkhaz-Adyge,Abkhaz-Abaza,269_middle,ɑ g ə tʰ ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,26_arm,ɑ m ɑ χ ə ɑ r
abk,Abkhaz-Adyge,Abkhaz-Abaza,270_item,ɑ m ɑ tʰ ə ɑ r
abk,Abkhaz-Adyge,Abkhaz-Abaza,272_fringe,ɑ tsʼ kʼ ɑ r
abk,Abkhaz-Adyge,Abkhaz-Abaza,273_edge,ɑ v ɑ r d ɨ m
abk,Abkhaz-Adyge,Abkhaz-Abaza,274_corner,ɑ kʼ ə ɑ k’ʲ
abk,Abkhaz-Adyge,Abkhaz-Abaza,275_tip,ɑ pʰ ɨ n tsʼ ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,276_end,ɑ n ɑ dz ɑ r ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,277_hole,ɑ kʼ ɨ l tsʼ ə ɑ r ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,278_angle,ɑ g ʈ ʈʂ’ ɑ ɥ r ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,278_angle,ɑ kʼ ə ɨ n d χ ə
abk,Abkhaz-Adyge,Abkhaz-Abaza,278_angle,ɑ kʼ ə ɑ k’ʲ
abk,Abkhaz-Adyge,Abkhaz-Abaza,279_pattern,ɑ qʼ qʼ ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,27_elbow,ɑ m ɑ ʃ χ ə ɨ l tsʼ
abk,Abkhaz-Adyge,Abkhaz-Abaza,280_size,i z ɑ qʼ ɑ r ɔu
abk,Abkhaz-Adyge,Abkhaz-Abaza,281_length,á u r ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,282_height,ɑ g ɨ l ɑ r ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,283_weight,ɑ kʼ ɑ pʼ ɑ n
abk,Abkhaz-Adyge,Abkhaz-Abaza,285_heap,ɑ tʃʰ ɑ qʼ ə ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,286_row,ɑ tsʰ ə ɑ ħ ə ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,287_boat,ɑ n ɨ ʃ
abk,Abkhaz-Adyge,Abkhaz-Abaza,288_oar,ɑ ʐ ə ɥ ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,289_sleigh,ɑ ʂ ə ɑ ɥ ɑ u ɑ r d ɨ n
abk,Abkhaz-Adyge,Abkhaz-Abaza,28_hand,ɑ n ɑ pʼ ɨ
abk,Abkhaz-Adyge,Abkhaz-Abaza,290_ski,ɑ ʂ ə ɑ ɥ ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,290_ski,ɑ ʃ ɑ χ ɑ χ ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,291_campfire,ɛi kʰ u u + ɑ m tsʰ ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,292_load,ɑ χʲ e n tʰ ɑ r ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,293_walk,ɑ n ɨ qʼ ə ɑ r ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,294_step,ɑ ʃ ɑ ʈ ʈʂ’ ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,295_north,ɑ ɥ ɑ d ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,296_south,ɑ l ɑ d ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,297_west,ɑ m r ɑ tʰ ɑ ʂ ə ɑ r ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,298_east,ɑ m r ɑ g ɨ l ɑ r ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,299_wood,ɑ m ʈ ʈʂ’ ɨ m ɑ tʰ ə ɑ χ ə
abk,Abkhaz-Adyge,Abkhaz-Abaza,29_palm,ɑ n ɑ pʼ s ɑ r g ə ɨ tsʼ ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,2_ear,ɑ l ɨ m ħ ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,300_board,ɑ ʁ ə ɨ
abk,Abkhaz-Adyge,Abkhaz-Abaza,301_slab,ɑ χ ɑ ħʲʷ tɕʷʰ u
abk,Abkhaz-Adyge,Abkhaz-Abaza,302_supportrest,ɑ tsʼ ɑ r g ə ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,302_supportrest,ɑ g ə ɨ ʃ ɑ qʼ ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,303_pole,ɑ k’ʲ e tʼ
abk,Abkhaz-Adyge,Abkhaz-Abaza,304_stick,ɑ l ɑ b ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,305_staff,ɑ k’ʲ e tʼ
abk,Abkhaz-Adyge,Abkhaz-Abaza,306_pipe,ɑ b ɨ k’ʲ
abk,Abkhaz-Adyge,Abkhaz-Abaza,307_house,ɑ ɥ n ɨ
abk,Abkhaz-Adyge,Abkhaz-Abaza,308_home,ɑ tʰ ɑː tsʰ ə ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,309_stove,ɑ ħ ɑ kʰ ə
abk,Abkhaz-Adyge,Abkhaz-Abaza,309_stove,ɑ u ɑ dʒ ɑ qʼ
abk,Abkhaz-Adyge,Abkhaz-Abaza,309_stove,ɑ f r ɨ n ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,30_finger,ɑ n ɑ tsʰ ə ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,310_floor,ɑ d ɑ ʃ m ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,311_table,ɑ i ʃʲʷ ø
abk,Abkhaz-Adyge,Abkhaz-Abaza,312_chair,ɑ qʼ ə ɑ r d ə
abk,Abkhaz-Adyge,Abkhaz-Abaza,313_cradle,ɑ g ɑ r ɑ
abk,Abkhaz-Adyge,Abkhaz-Abaza,314_bed,ɑ kʼ ɑ r u ɑ tʰ
abk,Abkhaz-Adyge,Abkhaz-Abaza,315_shelf,ɑ kʼ ɨ ʁ ə r ɑ
